Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
187;0.232070793;;;;;0.446131;0.6148;;0.89134
188;0.606780114;;;;;0.50223969;0.7275;;0.98672
189;0.769981334;;;;;0.44126507;0.6055;;0.88121
190;0.800504038;;;;;0.43639019;0.4332;;0.7963
191;0.735037282;;;;;0.47688742;0.5152;;0.9068
192;1.035999514;;;;;0.59049588;0.4674;;0.78683
193;0.865766266;;;;;0.62091119;0.4035;;0.93223
194;0.628141462;;;;;0.66957644;0.3557;;0.78244
195;0.658935048;;;;;0.32249943;0.5682;;0.68749
196;0.828551042;;;;;0.41179451;0.5332;;0.68157
197;0.720404215;;;;;0.2717209;0.5534;;0.73558
198;-0.071729547;;;;;0.34488347;0.6342;;0.79114
199;0.045956784;;;;;0.37162043;0.654;;0.77411
200;0.817742861;;;;;0.37152599;0.7388;;0.80589
201;0.995235378;;;;;0.45851499;0.6636;;0.66409
202;0.15785926;;;;;0.47267991;0.5196;;0.68614
203;0.229732069;;;;;0.5437497;0.5538;;0.73148
204;0.71517014;;;;;0.48237599;0.5437;;0.88357
205;0.972210014;;;;;0.47396018;0.3559;;0.82031
206;1.009467465;;;;;0.45996338;0.2305;;0.80221
207;0.18375918;;;;;0.51108986;0.3705;;0.70818
208;0.049992255;;;;;0.42921074;0.3671;;0.93608
209;0.575423549;;;;;0.37832997;0.4236;;0.97343
210;0.695100755;;;;;0.4025787;0.5161;;0.82378
211;0.844057899;;;;;0.26834345;0.4016;;0.63989
212;0.824041514;;;;;0.38316509;0.4585;;0.58137
213;1.011592868;;;;;0.291498;0.6022;;0.6352
214;0.834316647;;;;;0.56282509;0.726;;0.66621
215;0.746698401;;;;;0.53208367;0.629;;0.80148
216;0.645632901;;;;;0.45493751;0.5982;;1.03265
217;0.743879586;;;;;;0.2189;;0.83906
218;0.709768657;;;;;;0.1569;;0.75965
219;0.660471813;;;;;;0.317;;0.61568
220;-0.008755197;;;;;;0.2972;;0.55249
221;0.195629688;;;;;;0.3629;;0.62327
222;0.736310765;;;;;;0.2185;;0.68399
223;0.901845835;;;;;;0.3049;;0.68327
224;-0.105852992;;;;;;0.3434;;0.66301
225;-0.057890872;;;;;;0.1702;;0.66461
226;0.301264608;;;;;;0.4202;;0.88668
227;0.829357406;;;;;;0.4178;;0.99882
228;0.874917164;;;;;;0.1516;;1.01493
229;0.423640192;;;;;;0.107;;0.72961
230;0.549963152;;;;;;0.4724;;0.55504
231;0.523185387;;;;;;0.3065;;0.53624
232;0.885321358;;;;;;0.3584;;0.67161
233;0.940201986;;;;;;0.3544;;0.7571
234;0.968429712;;;;;;0.1825;;0.71547
235;0.222791159;;;;;;0.3795;;0.88238
236;0.167276013;;;;;;0.4504;;0.86121
237;0.534899084;;;;;;0.4298;;0.79036
238;0.856672347;;;;;;0.4094;;0.65054
239;0.544322933;;;;;;0.3292;;0.68359
240;0.543299867;;;;;;0.1964;;0.52933
241;1.009924512;;;;;;0.3786;;0.56802
242;1.076951538;;;;;;0.3297;;0.53326
243;0.446007526;;;;;;0.3132;;0.63173
244;0.299772659;;;;;;0.3186;;0.69903
245;0.757500874;;;;;;0.3916;;0.64013
