Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L
317.0;396.366331770965;;;;;;;;
318.0;397.2203003510528;;;;;;;;
319.0;396.7081344118725;;;;;;;;
320.0;395.7047006785104;;;;;;;;
321.0;395.52686032711546;;;;;;;;
322.0;395.46608602730174;;;;;;;;
323.0;393.5918089940073;;;;;;;;
324.0;393.95331333340346;;;;;;;;
325.0;395.2305167530702;;;;;;;;
326.0;397.06558981042826;;;;;;;;
327.0;396.30721766527193;;;;;;;;
328.0;394.2901878585809;;;;;;;;
329.0;394.6136757380598;;;;;;;;
330.0;393.3398151125964;;;;;;;;
331.0;393.2823611212869;;;;;;;;
332.0;393.06654545401983;;;;;;;;
333.0;394.30700405181886;;;;;;;;
334.0;391.4440483690482;;;;;;;;
335.0;388.9584153960778;;;;;;;;
336.0;389.85989179321854;;;;;;;;
337.0;391.6471818627866;;;;;;;;
338.0;392.11697182745667;;;;;;;;
339.0;391.9915727511916;;;;;;;;
340.0;393.5685099823375;;;;;;;;
341.0;393.16720444045666;;;;;;;;
342.0;392.72583105716194;;;;;;;;
343.0;393.2391289360056;;;;;;;;
344.0;393.9986846900916;;;;;;;;
345.0;395.7592445259838;;;;;;;;
346.0;394.0536753012965;;;;;;;;
347.0;393.3941486151251;;;;;;;;
348.0;394.4663491980364;;;;;;;;
349.0;396.13986848725955;;;;;;;;
350.0;395.54770895573387;;;;;;;;
351.0;393.34549083795457;;;;;;;;
352.0;393.75839700718245;;;;;;;;
353.0;394.5213533644501;;;;;;;;
354.0;392.65381271172674;;;;;;;;
355.0;394.295965487214;;;;;;;;
356.0;394.020993294424;;;;;;;;
357.0;392.77818844947103;;;;;;;;
358.0;392.7596208435318;;;;;;;;
359.0;391.9171304154938;;;;;;;;
360.0;392.16540243527675;;;;;;;;
361.0;392.39073298195353;;;;;;;;
362.0;390.9791994374245;;;;;;;;
363.0;390.25261943955746;;;;;;;;
364.0;391.4392820387212;;;;;;;;
365.0;391.87403170915;;;;;;;;
366.0;390.39130262035434;;;;;;;;
367.0;389.4976003746158;;;;;;;;
