   year        tas_(K)            co2_(ppm)    landflx_(PgC/yr)  ocnflx_(PgC/yr)  gpp_(PgC/yr)    npp_(PgC/yr)    rh_(PgC/yr)     cveg_(PgC)      csoil_(PgC)
  1963.0   13.632169947000023   284.2   -1.04930441235   0.0712457395706   114.147209221   57.6071173387   57.7033621156   581.99153129   1774.35974079 
  1964.0   13.546463062000043   284.2   -1.08832094017   0.0253028024662   113.19506191   57.3427394639   57.4883688646   581.477613831   1773.84269733 
  1965.0   13.573724740000046   284.2   -0.525560411662   0.141173378725   114.709080204   58.2959792031   57.8985538747   580.964898071   1773.46636713 
  1966.0   13.557916410000018   284.2   -0.744591802452   -0.0215264351593   114.323694277   58.0638112936   57.8888843001   580.942640788   1773.04172611 
  1967.0   13.395738566000034   284.2   0.552834258272   0.00296828878385   117.881013198   59.9485268462   58.474545245   581.003557719   1772.93026377 
  1968.0   13.362960406000013   284.2   1.83087368012   -0.103339666007   119.982667216   60.9720592141   58.2238208045   581.593327352   1773.41533165 
  1969.0   13.35951921000003   284.2   0.318225020906   -0.13576145174   117.726215563   59.5597842461   58.3609999248   581.987473388   1774.15232601 
  1970.0   13.379960437000022   284.2   0.147958706851   -0.148897566628   116.430845189   59.1458281628   58.1022505828   582.10444321   1774.10496488 
  1971.0   13.45498367500005   284.2   -0.0166559880485   -0.00518899215701   118.053307091   59.7242697798   58.7907262183   582.617705349   1774.08157213 
  1972.0   13.409884065000028   284.2   0.399507936276   0.0369153085524   116.810246943   59.2028254436   57.825963355   582.7393719   1773.78089456 
  1973.0   13.499212987000021   284.2   -0.201853387863   -0.00312197503934   119.154761424   60.0356660167   59.2737921571   583.048345967   1773.63288101 
  1974.0   13.592102924000017   284.2   -0.611554145184   -0.00912094947674   116.619957424   58.7471077903   58.4579144728   583.297448364   1772.98742001 
  1975.0   13.45824291300005   284.2   0.208723928234   0.0188142816429   114.962529661   58.1630177357   57.1048537696   583.222616716   1772.68370209 
  1976.0   13.382669270000008   284.2   -1.01792423442   -0.213783695598   116.7887018   58.8703224617   59.0318963675   582.897335698   1772.26288636 
  1977.0   13.252610876999995   284.2   2.50086127149   -0.0745545056438   119.963001764   60.6693348839   57.2526441957   583.391903214   1773.07855411 
  1978.0   13.430574750000005   284.2   -0.0539096183899   0.0224135223503   115.601851011   58.0036482743   57.140339846   583.578587382   1774.32688325 
  1979.0   13.477878056999998   284.2   -1.4213467203   -0.0937855048073   113.650984984   57.054813206   57.5036212522   582.793830921   1773.9981575 
  1980.0   13.344520957000043   284.2   1.45340601167   -0.316640955338   122.098414641   61.523435522   59.1033935072   583.003602045   1773.665335 
  1981.0   13.381896175999998   284.2   1.50429656155   -0.0931722081923   118.178762824   59.3882867474   56.943903287   583.662884698   1775.13251443 
  1982.0   13.530424416000017   284.2   -1.5773464217   -0.198314550886   113.893424767   57.2127044326   57.8386312903   583.222983405   1775.166004 
  1983.0   13.572743223000032   284.2   -0.963040633561   -0.0264647907181   116.74030251   58.7370389762   58.8055591756   582.804425085   1774.02473047 
  1984.0   13.603390857000022   284.2   -2.24991278304   0.0945877201231   114.857228623   57.4962061707   58.8220420555   582.359857879   1773.01346058 
  1985.0   13.422348422000027   284.2   0.0456917243439   0.0589217051509   115.248080252   58.4296234714   57.4350482851   582.075497555   1772.44686178 
  1986.0   13.390567902000043   284.2   1.76657523698   0.133281638949   118.929058904   60.5150207844   57.8076153294   582.32536357   1772.91017771 
